256698,256698,0.0105450765,0,0.0001113917,0.0056837217,1,0.0205331947,0.0152606565,3.71305510173771E-05,0.0001113917,3.71305510173771E-05,1,26932,0.0804564118,0.304513475,5.2156901428,0.0777684283
3091,3091,0.0276923077,0.0030769231,0.0030769231,0.0113231964,1,0.04,0.0646153846,0,0.0030769231,0,0,325,0.1025558072,0.3011970236,5.5374163741,0.0588806212
3642,3642,0.0236220472,0,0.0026246719,0.0096101043,1,0.0341207349,0.0551181102,0,0.0026246719,0,0,381,0.1037891269,0.3080724876,5.5101666091,0.0571114772
615248,615248,0.0141212731,0,1.57252484589256E-05,0.0072101006,1,0.025380551,0.0207416027,4.7175745376777E-05,0.000251604,0.000062901,1,63592,0.0915240683,0.2942862065,5.3862540092,0.0700936858
27975,27975,0.0071047957,0,0,0.0041465594,1,0.0095914742,0.0198934281,0,0.0007104796,0,0,2815,0.1178552279,0.3059159964,5.4911684281,0.0594459339
262561,262561,0.0082871574,0,0,0.0031116579,1,0.0133379101,0.0078948659,0,0.0003922915,0,0,20393,0.0964309246,0.2085648668,5.7517373229,0.0466786766
29227,29227,0.0098007187,0,0.0003266906,0.0041400075,1,0.0143743875,0.0186213656,0,0.0003266906,0,0,3061,0.0900537175,0.3171724775,5.3444056478,0.0671639238
8040,8040,0.0181598063,0,0,0.0059701493,1,0.0157384988,0.0375302663,0,0.0024213075,0,0,826,0.0914179104,0.3164179104,5.5443712011,0.0600746269
55892,55892,0.0064608758,0,0,0.0076934087,1,0.0235104092,0.0249461594,0,0.0005384063,0.0001794688,0,5572,0.1366385171,0.2755134903,5.507529685,0.0626923352
4499,4499,0.0265486726,0,0,0.0091131363,1,0.0287610619,0.0597345133,0,0.0022123894,0,0,452,0.1120248944,0.2996221383,5.5359885205,0.058457435
40408,40408,0.0142687277,0,0,0.0055682043,1,0.0175980975,0.0171224732,0,0.0004756243,0.0004756243,0,4205,0.0931498713,0.3030093051,5.2666352287,0.0757028311
21248,21248,0.0110220441,0,0.000501002,0.0034826807,1,0.0105210421,0.0235470942,0,0.000501002,0,0,1996,0.0776073042,0.296686747,5.5138512882,0.0612763554
29127,29127,0.0082135524,0,0,0.0042915508,1,0.0167693361,0.015742642,0,0.0003422313,0,0,2922,0.1100696948,0.3018848491,5.322820892,0.071308408
