,script_len,char_per_line,if_freq,false_freq,true_freq,whitesp_freq,lines_100,return_freq,var_freq,this_freq,toString_freq,eval_freq,comment_amount,words_count,vowel_freq,non_read_freq,scr_entropy,str_enc_freq
1300,331610.0,37.29307242465137,0.011252385555307706,2.4784990209928866e-05,4.956998041985773e-05,0.4697445794758904,0.00011246063877642825,0.03670657050090465,0.027238704240711824,0.0007683346965077949,0.0009170446377673681,4.956998041985773e-05,4.0,40347.0,0.09987937637586321,0.6961732155242605,3.800906207276647,0.00012062362413678719
1301,1351540.0,91.76670287887018,0.0035859681786297275,7.211270560315722e-05,0.00010489120815004688,0.3607669769300206,0.0010184682237914177,0.010403896708382774,0.009210759215675992,0.0005310117412596122,3.2778502546889645e-05,6.55570050937793e-06,2.0,152539.0,0.1463478698373707,0.5866426446868017,4.573708300882457,5.6232149991861135e-05
1302,3220.0,45.352112676056336,0.011904761904761904,0.0,0.0,0.32111801242236027,0.0,0.044642857142857144,0.017857142857142856,0.0,0.005952380952380952,0.0,1.0,336.0,0.18322981366459629,0.5229813664596273,4.454633131895095,0.0
1303,34835.0,33.624517374517374,0.019958226966813646,0.00023207240659085636,0.000696217219772569,0.38073776374336155,0.0,0.012763982362497098,0.020422371779995358,0.00023207240659085636,0.000696217219772569,0.0,2.0,4309.0,0.12076934117984786,0.6460169369886608,4.3893818467350965,0.0
1304,183820.0,56.78714859437751,0.0032014167972208977,0.00020434575301409987,0.0008173830120563995,0.45284517462735285,0.00030892801977139327,0.022614263333560383,0.01409985695797289,6.811525100469996e-05,0.0006130372590422995,6.811525100469996e-05,1.0,14681.0,0.14958655206179958,0.6038026330105538,3.865869931361166,0.0
1305,21003.0,35.96404109589041,0.012744265080713678,0.0016992353440951572,0.0008496176720475786,0.3354282721515974,0.0,0.021665250637213255,0.019116397621070518,0.0,0.0,0.0,2.0,2354.0,0.1610246155311146,0.5529210112841023,4.483817926569929,0.0
1306,55386.0,48.92756183745583,0.008505702687028804,0.0,0.0,0.4615606832051421,0.0,0.026483665184612412,0.021070945292866808,0.0011598685482312006,0.00038662284941040013,0.0,1.0,5173.0,0.1408839779005525,0.6147582421550573,3.750323824406233,0.0
1307,14754.0,60.96694214876033,0.004301075268817204,0.0,0.0,0.32106547376982514,0.0,0.020967741935483872,0.01881720430107527,0.0016129032258064516,0.0,0.0,1.0,1860.0,0.16178663413311645,0.5423613935204012,4.509203238817448,0.0
1308,608.0,30.4,0.08333333333333333,0.0,0.0,0.37006578947368424,0.0,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,48.0,0.17434210526315788,0.5115131578947368,3.817529813063799,0.0
1309,12551.0,41.15081967213115,0.014934660858743,0.0,0.0,0.3202135288024859,0.0,0.026757934038581208,0.02613565650280025,0.0,0.0,0.0,1.0,1607.0,0.16006692693809257,0.550235041032587,4.487092351450353,0.0
1310,164665.0,43.16251638269987,0.028580562659846546,0.005626598465473146,0.005242966751918159,0.3714268363040112,0.0,0.01278772378516624,0.022506393861892585,0.0007033248081841433,0.0002557544757033248,0.0001278772378516624,25.0,15640.0,0.15049949898278323,0.5643700847174566,4.289358848990623,0.0
1311,3091.0,42.342465753424655,0.020527859237536656,0.0,0.0,0.4267227434487221,0.0,0.02346041055718475,0.03519061583577713,0.0,0.0,0.0,1.0,341.0,0.12779035910708508,0.6502749919120026,4.077095566756467,0.0
1312,51089.0,44.15643906655143,0.02397384671267708,0.001452960406828914,0.002361060661096985,0.32717414707667014,0.0,0.010533962949509626,0.01634580457682528,0.002905920813657828,0.0,0.0005448601525608427,175.0,5506.0,0.18898393000450195,0.48366575975258863,4.40180858630348,0.0
1313,949.0,35.148148148148145,0.02830188679245283,0.0,0.018867924528301886,0.18651211801896733,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,1.0,106.0,0.1780821917808219,0.4499473129610116,5.091208201605155,0.0
1314,5249.0,39.46616541353384,0.007312614259597806,0.0,0.0,0.4069346542198514,0.0,0.04204753199268738,0.02376599634369287,0.0,0.003656307129798903,0.0,1.0,547.0,0.14497999618975044,0.5900171461230711,3.9731910197009523,0.0
1315,5249.0,39.46616541353384,0.007312614259597806,0.0,0.0,0.4069346542198514,0.0,0.04204753199268738,0.02376599634369287,0.0,0.003656307129798903,0.0,1.0,547.0,0.14497999618975044,0.5900171461230711,3.9731910197009523,0.0
1316,11744.0,98.6890756302521,0.001524390243902439,0.0,0.0,0.18077316076294278,0.01680672268907563,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,1312.0,0.19524863760217984,0.4208957765667575,4.828802406470246,0.0
1317,13778.0,36.6436170212766,0.014481094127111826,0.0,0.0,0.5056611990129192,0.0,0.03781174577634755,0.02815768302493966,0.0,0.0016090104585679806,0.0,0.0,1243.0,0.11424009290172739,0.6736101030628538,3.5080942578699905,0.0
1318,96989.0,29.96261970960766,0.011490209872200726,0.00035174111853675694,0.00046898815804900925,0.5192238295064389,0.0,0.020166490796107397,0.02063547895415641,0.00011724703951225231,0.0008207292765857662,0.00023449407902450463,0.0,8529.0,0.06649207642103744,0.7927703141593376,3.511076735842962,5.155223788264649e-05
1319,10478.0,52.653266331658294,0.005121638924455826,0.0,0.0,0.3757396449704142,0.0,0.028169014084507043,0.011523687580025609,0.0,0.002560819462227913,0.0,1.0,781.0,0.17894636380988738,0.5387478526436342,4.144941054469192,0.0
1320,800.0,42.10526315789474,0.03488372093023256,0.011627906976744186,0.023255813953488372,0.1,0.0,0.011627906976744186,0.046511627906976744,0.0,0.0,0.0,0.0,86.0,0.20875,0.38375,5.275678515846234,0.0
1321,119737.0,45.98195084485407,0.003359804520464264,0.0,0.0,0.4816472769486458,0.0,0.011402972917939319,0.010384850335980453,0.0009163103237629811,0.0,0.0,0.0,9822.0,0.13948904682763055,0.6351420195929411,3.712977119743086,0.0
1322,267129.0,34.79601406799531,0.010990017400860884,3.0527826113502456e-05,3.0527826113502456e-05,0.4269173320755141,0.00013025921583952066,0.030863632200750984,0.025185456543639528,0.0006105565222700492,0.001007418261745581,3.0527826113502456e-05,2.0,32757.0,0.12060465168514088,0.6534445904413223,4.006396922020265,1.1230529070224498e-05
