,script_len,char_per_line,if_freq,false_freq,true_freq,whitesp_freq,lines_100,return_freq,var_freq,this_freq,toString_freq,eval_freq,comment_amount,words_count,vowel_freq,non_read_freq,scr_entropy,str_enc_freq,file_name
409,7972,7972.0,0.015017667844522967,0.0,0.0,0.010286001003512292,1.0,0.024734982332155476,0.045053003533568906,0.0,0.00265017667844523,0.0,0,1132,0.09834420471650777,0.5988459608630206,5.320553055829113,0.10511791269443051,498.txt
410,57403,57403.0,0.007737276478679504,0.0,0.0,0.008849711687542464,1.0,0.02235213204951857,0.02046079779917469,0.0,0.000171939477303989,0.0,0,5816,0.09003013779767607,0.5728097834607947,5.419174401212937,0.06673867219483302,1061.txt
411,1906690,14336.015037593985,0.009296358879011703,5.651281993320185e-06,6.216410192652203e-05,0.006216007846057828,0.05263157894736842,0.02548728178987403,0.016467835728535017,6.781538391984222e-05,9.607179388644314e-05,3.390769195992111e-05,12,176951,0.09718779665283817,0.5582900209263173,5.548236976431856,0.06375341560505378,417.txt
412,21379,21379.0,0.016506189821182942,0.0,0.0,0.006314607792693765,1.0,0.01925722145804677,0.027968821641448878,0.0,0.0004585052728106373,0.0004585052728106373,0,2181,0.08751578651948173,0.6147621497731419,5.397321070192931,0.0713316806211703,536.txt
413,108432,108432.0,0.01724738675958188,0.0,8.710801393728223e-05,0.00939759480596134,1.0,0.020557491289198607,0.023693379790940768,0.0,0.0002613240418118467,0.0005226480836236934,1,11480,0.08709606020362992,0.6485447100486941,5.262863321524571,0.07824258521469676,236.txt
414,249318,249318.0,0.0034930337792243877,0.0,3.9693565673004404e-05,0.0035697382459349103,1.0,0.020402492755924265,0.008335648791330925,0.0,3.9693565673004404e-05,0.0,0,25193,0.0959216743275656,0.5513240119044754,5.605920211683124,0.05384689432772604,739.txt
415,16149,16149.0,0.0080545229244114,0.0,0.0,0.006935413957520589,1.0,0.0322180916976456,0.02540272614622057,0.0,0.0006195786864931846,0.0,0,1614,0.11003777323673293,0.5370611183355006,5.68874144917762,0.05374945817078457,251.txt
416,27313,27313.0,0.013445761166818596,0.0,0.00022789425706472196,0.006663493574488339,1.0,0.011166818596171376,0.021649954421148587,0.0,0.0006836827711941659,0.0,0,4388,0.08420898473254494,0.6292607915644565,5.079016941102037,0.1292790978654853,1258.txt
417,101601,101601.0,0.011572302983932671,0.0,9.563886763580719e-05,0.005649550693398687,1.0,0.016449885233358837,0.02448355011476664,0.0,9.563886763580719e-05,0.0,0,10456,0.11475280755110678,0.5320420074605565,5.682823172925932,0.048985738329347155,1239.txt
418,44834,44834.0,0.001867607387424777,0.0,0.0,0.001382879064995316,1.0,0.003112678979041295,0.007470429549699108,0.0,0.00020751193193608634,0.0,0,4819,0.09421421242806799,0.5526609269750635,5.248989904375831,0.07199892938394968,1189.txt
419,186072,31012.0,0.021155699863020648,5.07330931966922e-05,0.0001014661863933844,0.004073691904209123,0.3333333333333333,0.008827558216224444,0.015524326518187814,0.0,0.00015219927959007662,0.0,5,19711,0.07915215615460681,0.6339588976310245,5.289711435972937,0.077249666795649,503.txt
420,19318,19318.0,0.008088978766430738,0.0,0.0,0.009317734755150636,1.0,0.03387259858442872,0.023255813953488372,0.0,0.0010111223458038423,0.0,0,1978,0.11367636401283777,0.5407909721503261,5.603612437962467,0.0522828450150119,1064.txt
421,59399,59399.0,0.008823066015440365,0.0,0.0,0.007777908719002004,1.0,0.02284543878997952,0.024893650543563888,0.0,0.000787773751378604,0.0,0,6347,0.08247613596188488,0.6337648781966027,5.241361489912117,0.07910907591036886,509.txt
422,392777,392777.0,0.004123476106656236,0.0,0.0,0.004554747350277638,1.0,0.016363517830367037,0.006437838190234044,1.6298324532238087e-05,4.889497359671426e-05,0.0,1,61356,0.06081058717796612,0.6800398190321735,4.806044395171203,0.142803677404736,524.txt
423,18049,18049.0,0.00856225472707813,0.0,0.0,0.007424234029586127,1.0,0.025686764181234393,0.01569746699964324,0.0,0.00035676061362825543,0.0,0,2803,0.0632722034461743,0.67006482353593,4.904906565812454,0.1354091639426007,976.txt
424,13287,13287.0,0.010355029585798817,0.0,0.0,0.007375630315345827,1.0,0.019230769230769232,0.02440828402366864,0.0,0.0007396449704142012,0.0,0,1352,0.09339956348310378,0.5854594716640326,5.441511515196387,0.0703695341311056,973.txt
425,8428,8428.0,0.025136612021857924,0.0,0.0,0.008661604176554342,1.0,0.013114754098360656,0.05027322404371585,0.0,0.001092896174863388,0.0,0,915,0.08495491219743712,0.6026340768865686,5.369597982405679,0.06976744186046512,902.txt
426,2220152,2220152.0,0.0003511228745259328,0.0,0.0,0.0013206302991867224,1.0,0.0023613526649404835,0.0019835362385500063,0.0,2.0533501434265075e-06,5.54404538725157e-05,0,487009,0.029330874642817247,0.6858039449551202,3.91290903268188,0.2158951279011527,189.txt
427,737997,737997.0,0.003000573639078059,1.4708694309206171e-05,2.9417388618412342e-05,0.0038455440875775917,1.0,0.01601776810272552,0.012575933634371277,0.0,4.412608292761852e-05,0.0,0,67987,0.09766028859195905,0.5759413656153074,5.507516979361937,0.06687696562452151,561.txt
428,8693,8693.0,0.014099783080260303,0.0,0.0,0.009432877027493385,1.0,0.04013015184381779,0.03470715835140998,0.0,0.0010845986984815619,0.0,0,922,0.11169906821580582,0.5372138502243184,5.666875883116334,0.055101806050845505,990.txt
429,18446,18446.0,0.011025358324145534,0.0,0.0,0.005692291011601431,1.0,0.009922822491730982,0.04189636163175303,0.0,0.0005512679162072767,0.0,0,1814,0.12365824569012251,0.5412555567602733,5.556651901135797,0.06125989374390112,771.txt
430,16859,4214.75,0.03211009174311927,0.0,0.0005733944954128441,0.007948276884749986,0.75,0.02121559633027523,0.0338302752293578,0.0,0.0005733944954128441,0.0005733944954128441,3,1744,0.10338691500088973,0.6020523162702414,5.441730724066975,0.06862803250489354,683.txt
431,360629,7513.104166666667,0.0136986301369863,5.2687038988408854e-05,2.6343519494204427e-05,0.008041505258867146,0.041666666666666664,0.021048472075869337,0.02523709167544784,5.2687038988408854e-05,5.2687038988408854e-05,2.6343519494204427e-05,1,37960,0.08239769957490939,0.6232721162191616,5.271191049641716,0.07764489267363413,512.txt
